Time,Time Code,Country,Country Code,"GDP,constant 2010 US$,millions,seas. adj., [NYGDPMKTPSAKD]"
2011Q2,2011Q2,Argentina,ARG,106638.103886311
2011Q2,2011Q2,Brazil,BRA,542945.220037467
2011Q2,2011Q2,China,CHN,1591872.97259997
2011Q2,2011Q2,India,IND,411093.321308996
2011Q2,2011Q2,Indonesia,IDN,190693.957330637
2011Q2,2011Q2,Mexico,MEX,264717.83274471
2011Q2,2011Q2,Poland,POL,129488.640126873
2011Q2,2011Q2,South Africa,ZAF,91847.9665053269
2011Q2,2011Q2,Korea Rep.,KOR,296188.515951425
2011Q2,2011Q2,Turkey,TUR,203867.854550003
2011Q3,2011Q3,Argentina,ARG,107484.064383977
2011Q3,2011Q3,Brazil,BRA,542837.999351251
2011Q3,2011Q3,China,CHN,1623143.93060426
2011Q3,2011Q3,India,IND,410561.019263173
2011Q3,2011Q3,Indonesia,IDN,193342.878377447
2011Q3,2011Q3,Mexico,MEX,269814.498134313
2011Q3,2011Q3,Poland,POL,131172.011445407
2011Q3,2011Q3,South Africa,ZAF,92121.8890479746
2011Q3,2011Q3,Korea Rep.,KOR,297747.426122912
2011Q3,2011Q3,Turkey,TUR,209272.450666515
2011Q4,2011Q4,Argentina,ARG,107591.503801087
2011Q4,2011Q4,Brazil,BRA,544588.654348597
2011Q4,2011Q4,China,CHN,1650540.33607564
2011Q4,2011Q4,India,IND,421733.991249864
2011Q4,2011Q4,Indonesia,IDN,196220.55388747
2011Q4,2011Q4,Mexico,MEX,271728.180390078
2011Q4,2011Q4,Poland,POL,132221.374620462
2011Q4,2011Q4,South Africa,ZAF,92824.2046580304
2011Q4,2011Q4,Korea Rep.,KOR,299153.681463307
2011Q4,2011Q4,Turkey,TUR,211560.852507501
2012Q1,2012Q1,Argentina,ARG,106425.611458977
2012Q1,2012Q1,Brazil,BRA,544485.130927423
2012Q1,2012Q1,China,CHN,1682247.32584874
2012Q1,2012Q1,India,IND,431974.331688161
2012Q1,2012Q1,Indonesia,IDN,199493.265928138
2012Q1,2012Q1,Mexico,MEX,273438.617154003
2012Q1,2012Q1,Poland,POL,132353.597060008
2012Q1,2012Q1,South Africa,ZAF,93195.4008308798
2012Q1,2012Q1,Korea Rep.,KOR,301775.795192744
2012Q1,2012Q1,Turkey,TUR,210739.900704654
2012Q2,2012Q2,Argentina,ARG,102720.02061162
2012Q2,2012Q2,Brazil,BRA,548522.544353193
